Wormholes to Class 1 (348) Systems 	Extra Stats
Name 	Type 	Departs from 	Region 	Constellations 	Total Count 	Lifetime 	Mass/Jump 	Max mass 	Sig Str
Z647 	static 	Class 2 	8 	all 	128 	16 hrs 	20 Gg 	500 Gg 	10.0%
P060 	static 	Class 4 	18 	all 	46 	16 hrs 	20 Gg 	500 Gg 	5.0%
Y790 	static 	Class 5 	24 	233 & 239 	20 	16 hrs 	20 Gg 	500 Gg 	2.5%
Q317 	static 	Class 6 	30 	301 	6 	16 hrs 	20 Gg 	500 Gg 	2.5%
H121 	wandering 	Class 1 	? 	? 	? 	16 hrs 	20 Gg 	500 Gg 	10.0%
V301 	wandering 	Class 3 	? 	? 	? 	16 hrs 	20 Gg 	500 Gg 	5.0%
Z971 	wandering 	high, low, & null 	? 	? 	~67 high, ? low, ? null 	16 hrs 	20 Gg 	100 Gg 	10.0% high, 5.0% low, 2.5% null
Wormholes to Class 2 (525) Systems 	Extra Stats
Name 	Type 	Departs from 	Region 	Constellations 	Total Count 	Lifetime 	mass/Jump 	max mass 	Sig Str
D382 	static 	Class 2 	6 	all 	141 	16 hrs 	300 Gg 	2000 Gg 	6.67%
N766 	static 	Class 4 	16 	all 	60 	16 hrs 	300 Gg 	2000 Gg 	4.0%
D364 	static 	Class 5 	24 	234, 235, 237, & 238 	31 	16 hrs 	300 Gg 	1000 Gg 	1.25%
G024 	static 	Class 6 	30 	297 	7 	16 hrs 	300 Gg 	2000 Gg 	1.25%
C125 	wandering 	Class 1 	? 	? 	? 	16 hrs 	20 Gg 	1000 Gg 	6.67%
I182 	wandering 	Class 3 	? 	? 	? 	16 hrs 	300 Gg 	2000 Gg 	4.0%
R943 	wandering 	high, low, & null 	? 	? 	~95 high, ? low, ? null 	16 hrs 	300 Gg 	750 Gg 	6.67% high,
4.0% low,
2.22% null
Wormholes to Class 3 (494) Systems 	Extra Stats
Name 	Type 	Departs from 	Region 	Constellations 	Total Count 	Lifetime 	mass/Jump 	max mass 	Sig Str
O477 	static 	Class 2 	4 	all 	104 	16 hrs 	300 Gg 	2000 Gg 	5.0%
C247 	static 	Class 4 	21 & 23 	all 	143 	16 hrs 	300 Gg 	2000 Gg 	10.0%
M267 	static 	Class 5 	27 	all 	71 	16 hrs 	300 Gg 	1000 Gg 	1.25%
L477 	static 	Class 6 	30 	300 & 304 	17 	16 hrs 	300 Gg 	2000 Gg 	5.0%
O883 	wandering 	Class 1 	? 	? 	? 	16 hrs 	20 Gg 	1000 Gg 	5.0%
N968 	wandering 	Class 3 	? 	? 	? 	16 hrs 	300 Gg 	2000 Gg 	10.0%
X702 	wandering 	high, low, & null 	? 	? 	~81 high, ? low, ? null 	24 hrs 	300 Gg 	1000 Gg 	5.0% high,
10.0% low,
5.0% null
